"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02617V03175","Type of Journey","UNIT","VALUE"
"TCA01","Passenger Journeys by Rail (Thousand)","2002","2002","01","Mainline and other services","Number","10438"
"TCA01","Passenger Journeys by Rail (Thousand)","2002","2002","02","Dublin suburban services","Number","24120"
"TCA01","Passenger Journeys by Rail (Thousand)","2002","2002","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","2002","2002","04","International journeys","Number","812"
"TCA01","Passenger Journeys by Rail (Thousand)","2003","2003","-","All journeys","Number","35558"
"TCA01","Passenger Journeys by Rail (Thousand)","2003","2003","01","Mainline and other services","Number","10406"
"TCA01","Passenger Journeys by Rail (Thousand)","2003","2003","02","Dublin suburban services","Number","24302"
"TCA01","Passenger Journeys by Rail (Thousand)","2003","2003","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","2003","2003","04","International journeys","Number","850"
"TCA01","Passenger Journeys by Rail (Thousand)","2004","2004","-","All journeys","Number","34550"
"TCA01","Passenger Journeys by Rail (Thousand)","2004","2004","01","Mainline and other services","Number","10511"
"TCA01","Passenger Journeys by Rail (Thousand)","2004","2004","02","Dublin suburban services","Number","23240"
"TCA01","Passenger Journeys by Rail (Thousand)","2004","2004","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","2004","2004","04","International journeys","Number","799"
"TCA01","Passenger Journeys by Rail (Thousand)","2005","2005","-","All journeys","Number","37655"
"TCA01","Passenger Journeys by Rail (Thousand)","2005","2005","01","Mainline and other services","Number","11068"
"TCA01","Passenger Journeys by Rail (Thousand)","2005","2005","02","Dublin suburban services","Number","9556"
"TCA01","Passenger Journeys by Rail (Thousand)","2005","2005","03","DART","Number","16256"
"TCA01","Passenger Journeys by Rail (Thousand)","2005","2005","04","International journeys","Number","775"
"TCA01","Passenger Journeys by Rail (Thousand)","2006","2006","-","All journeys","Number","43352"
"TCA01","Passenger Journeys by Rail (Thousand)","2006","2006","01","Mainline and other services","Number","8917"
"TCA01","Passenger Journeys by Rail (Thousand)","2006","2006","02","Dublin suburban services","Number","13862"
"TCA01","Passenger Journeys by Rail (Thousand)","2006","2006","03","DART","Number","19689"
"TCA01","Passenger Journeys by Rail (Thousand)","2006","2006","04","International journeys","Number","884"
"TCA01","Passenger Journeys by Rail (Thousand)","2007","2007","-","All journeys","Number","45511"
"TCA01","Passenger Journeys by Rail (Thousand)","2007","2007","01","Mainline and other services","Number","10537"
"TCA01","Passenger Journeys by Rail (Thousand)","2007","2007","02","Dublin suburban services","Number","13880"
"TCA01","Passenger Journeys by Rail (Thousand)","2007","2007","03","DART","Number","20244"
"TCA01","Passenger Journeys by Rail (Thousand)","2007","2007","04","International journeys","Number","850"
"TCA01","Passenger Journeys by Rail (Thousand)","2008","2008","-","All journeys","Number","44647"
"TCA01","Passenger Journeys by Rail (Thousand)","2008","2008","01","Mainline and other services","Number","10324"
"TCA01","Passenger Journeys by Rail (Thousand)","2008","2008","02","Dublin suburban services","Number","13645"
"TCA01","Passenger Journeys by Rail (Thousand)","2008","2008","03","DART","Number","19865"
"TCA01","Passenger Journeys by Rail (Thousand)","2008","2008","04","International journeys","Number","813"
"TCA01","Passenger Journeys by Rail (Thousand)","2009","2009","-","All journeys","Number","38812"
